cik,display_name,first_file_date,last_file_date,total_hits,forms_touched,in_phrase_query,in_token_query,in_deferred_csv,signal_class
0000888138,"Real Estate Services of Pennsylvania LLC  (CIK 0001420750); NRT Missouri LLC  (CIK 0001420753); Associated Client Referral LLC  (CIK 0001420762); South Land Title Co., Inc.  (CIK 0001420742); ATCOH Holding CO  (CIK 0001420776); Alpha Referral Network, LLC  (CIK 0001420679); NRT Commercial Ohio INC  (CIK 0001420637); Douglas & Jean Burgdorff, Inc.  (CIK 0001420687); Pacesetter Nevada, Inc.  (CIK 0001420960); Sunshine Group, Ltd.  (CIK 0001420643); NRT Insurance Agency, Inc.  (CIK 0001420690); Cotton Real Estate, Inc.  (CIK 0001420931); Coldwell Banker Pacific Properties LLC  (CIK 0001420954); Title Resource Group Services LLC  (CIK 0001420502); Sotheby's International Realty Licensee LLC  (CIK 0001420425); Rocky Mountain Settlement Services, LLC  (CIK 0001420429); Realogy Franchise Group LLC  (CIK 0001420444); NRT Utah LLC  (CIK 0001420450); NRT LLC  (CIK 0001420457); NRT Commercial Utah LLC  (CIK 0001420459); NRT Arizona LLC  (CIK 0001420463); CGRN, Inc.  (CIK 0001420310); Career Development Center, LLC  (CIK 0001420294); Referral Network, LLC  (CIK 0001420339); West Coast Escrow CO  (CIK 0001420334); Summit Escrow  (CIK 0001420327); ERA TM LLC  (CIK 0001420699); Coldwell Banker Real Estate LLC  (CIK 0001420274); Burrow Escrow Services, Inc.  (CIK 0001420273); Guardian Title Agency, LLC  (CIK 0001420337); Better Homes & Gardens Real Estate Licensee LLC  (CIK 0001420737); Real Estate Referrals LLC  (CIK 0001420751); NRT Missouri Referral Network LLC  (CIK 0001420752); Coldwell Banker Real Estate Services LLC  (CIK 0001420312); Coldwell Banker Residential Real Estate Services of Wisconsin, Inc.  (CIK 0001420771); Texas American Title CO  (CIK 0001420774); American Title CO of Houston  (CIK 0001420678); J.W. Riker - Northern R.I., Inc.  (CIK 0001420680); APEX Real Estate Information Services, LLP  (CIK 0001420684); APEX Real Estate Information Services, LLC  (CIK 0001420685); Corcoran Group - Brooklyn Landmark, LLC  (CIK 0001420653); Coldwell Banker Real Estate Services, Inc.  (CIK 0001420735); Market Street Settlement Group LLC  (CIK 0001420689); Home Referral Network LLC  (CIK 0001420964); Burnet Title LLC  (CIK 0001420938); DeWolfe Company, Inc.  (CIK 0001420933); DeWolfe Relocation Services, Inc.  (CIK 0001420484); Pacific Properties Referrals, Inc.  (CIK 0001420953); Coldwell Banker Commercial Pacific Properties LLC  (CIK 0001420495); Florida's Preferred School of Real Estate, Inc.  (CIK 0001420499); Title Resource Group Affiliates Holdings LLC  (CIK 0001420432); Sotheby's International Realty Affiliates LLC  (CIK 0001420426); Scranton Abstract, LLC  (CIK 0001420428); Realogy Services Venture Partner LLC  (CIK 0001420431); Realogy Global Services LLC  (CIK 0001420443); Pacific Access Holding Company, LLC  (CIK 0001420448); NRT Hawaii Referral LLC  (CIK 0001420458); NRT Arizona Referral LLC  (CIK 0001420462); Guardian Holding CO  (CIK 0001420468); Grand Title, LLC  (CIK 0001420469); FedState Strategic Consulting, INC  (CIK 0001420695); Equity Title Messenger Service Holding LLC  (CIK 0001420471); Century 21 Real Estate LLC  (CIK 0001420309); Cartus CORP  (CIK 0001420305); Advantage Title & Insurance, LLC  (CIK 0001420293); NRT Colorado LLC  (CIK 0001420338); West Coast Escrow Closing Co.  (CIK 0001420698); Mid-Exchange LLC  (CIK 0001420323); Equity Title CO  (CIK 0001420319); CB TM LLC  (CIK 0001420700); Real Estate Referral LLC  (CIK 0001421083); Texas American Title CO of Austin  (CIK 0001420773); Coldwell Banker Residential Referral Network, Inc.  (CIK 0001420683); Burgdorff Referral Associates, Inc.  (CIK 0001420688); DEWOLFE COMPANIES INC  (CIK 0000888138); Dewolfe Realty Affiliates  (CIK 0001420952); Referral Associates of Florida LLC  (CIK 0001420498); Realogy Services Group LLC  (CIK 0001420430); NRT Columbus LLC  (CIK 0001420461); Keystone Closing Services LLC  (CIK 0001420465); CDRE TM LLC  (CIK 0001420697); Four Star Corp.  (CIK 0001420343); National Coordination Alliance LLC  (CIK 0001420324); Coldwell Banker Residential Real Estate LLC  (CIK 0001420276); C21 TM LLC  (CIK 0001420701); Better Homes & Gardens Real Estate LLC  (CIK 0001420731); NRT Mid-Atlantic LLC  (CIK 0001420754); South-Land Title of Montgomery County, Inc.  (CIK 0001420741); NRT Texas LLC  (CIK 0001420749); Secured Land Transfers LLC  (CIK 0001420681); Burnet Title of Ohio, LLC  (CIK 0001420641); NRT Missouri Referral Network, Inc.  (CIK 0001420962); Sotheby's International Realty, Inc.  (CIK 0001420935); St. Joe Title Services LLC  (CIK 0001420496); Title Resources INC  (CIK 0001420500); Texas American Dissolution, Inc.  (CIK 0001420433); Sotheby's International Realty Referral Company, LLC  (CIK 0001420427); Realogy Licensing LLC  (CIK 0001420442); Hickory Title, LLC  (CIK 0001420466); First California Escrow CORP  (CIK 0001420694); Real Estate Referral Inc.  (CIK 0001420342); Colorado Commercial, LLC  (CIK 0001420335); Valley of California, Inc.  (CIK 0001420333); Fred Sands School of Real Estate  (CIK 0001420320); Coldwell Banker Residential Brokerage CO  (CIK 0001420275); TAW Holding Inc.  (CIK 0001420740); Guardian Title CO  (CIK 0001420321); Associates Realty Network  (CIK 0001420271); Miller Group, Inc.  (CIK 0001420930); Title Resource Group LLC  (CIK 0001420503); Lincoln Settlement Services LLC  (CIK 0001420779); Coldwell Banker Residential Referral Network  (CIK 0001420277); Batjac Real Estate Corp.  (CIK 0001420686); Referral Associates of New England LLC  (CIK 0001420932); Burgdorff Referral Associates LLC  (CIK 0001420759); Burnet Realty LLC  (CIK 0001420936); Title Resource Group Holdings LLC  (CIK 0001420504); Legend Title, LLC  (CIK 0001420446); Gulf South Settlement Services, LLC  (CIK 0001420467); Hillshire House, INC  (CIK 0001420341); Processing Solutions LLC  (CIK 0001420744); ERA General Agency of New Jersey, Inc.  (CIK 0001420481); Trust of New England, Inc.  (CIK 0001420934); TBR Settlement Services, LLC  (CIK 0001420434); NRT The Condo Store LLC  (CIK 0001420451); Mid-State Escrow CORP  (CIK 0001420691); Realogy Operations LLC  (CIK 0001420326); ERA Franchise Systems LLC  (CIK 0001420470); Burgdorff LLC  (CIK 0001420760); NRT Mid-Atlantic Title Services, LLC  (CIK 0001420951); NRT Settlement Services of Texas LLC  (CIK 0001420453); Shelter Title LLC  (CIK 0001420696); Referral Network Inc.  (CIK 0001420743); REALOGY CORP  (CIK 0001355001); St. Joe Real Estate Services, Inc.  (CIK 0001420497); NRT Arizona Commercial LLC  (CIK 0001420464); Coldwell Banker LLC  (CIK 0001420311); NRT Pittsburgh LLC  (CIK 0001420758); Cook-Pony Farm Real Estate, Inc.  (CIK 0001420479); NRT Missouri, Inc.  (CIK 0001420961); Referral Network LLC  (CIK 0001420955); Real Estate Services LLC  (CIK 0001420445); William Orange Realty, Inc.  (CIK 0001420292); Jack Gaughen LLC  (CIK 0001420755); Cartus Partner CORP  (CIK 0001421023); NRT Relocation LLC  (CIK 0001420455); Associates Investments  (CIK 0001420270); Patriot Settlement Services, LLC  (CIK 0001420447); NRT Arizona Exito LLC  (CIK 0001420778); NRT Sunshine Inc.  (CIK 0001420452); FSA Membership Services, LLC  (CIK 0001420692); Burnet Realty, Inc.  (CIK 0001420772); Franchise Settlement Services LLC  (CIK 0001420693); NRT New York LLC  (CIK 0001420456); Bob Tendler Real Estate, Inc.  (CIK 0001420340); Oncor International LLC  (CIK 0001420449); Associates Realty, Inc.  (CIK 0001420272); NRT Commercial LLC  (CIK 0001420460); ERA General Agency CORP  (CIK 0001420963); Burnet Title Holding LLC  (CIK 0001420937); TRG Services, Escrow, Inc.  (CIK 0001420736); NRT Texas Real Estate Services LLC  (CIK 0001420745); Corcoran Group Eastside, Inc.  (CIK 0001420651); NRT Settlement Services of Missouri LLC  (CIK 0001420454)",2007-12-18,2007-12-18,1,S-4,true,false,false,exhibit-only
0000889971,LIGHTPATH TECHNOLOGIES INC  (LPTH)  (CIK 0000889971),2025-02-13,2025-02-21,2,8-K,true,false,false,exhibit-only
0000894871,"Arena Group Holdings, Inc.  (AREN)  (CIK 0000894871)",2022-04-06,2022-04-06,1,8-K,true,false,false,exhibit-only
0000895126,"CHESAPEAKE ENERGY CORP  (CHK, CHKEL, CHKEW, CHKEZ)  (CIK 0000895126)",2021-08-11,2021-08-11,1,8-K,true,false,false,both
0000902739,"COMCAST CORP  (CCZ, CMCSA)  (CIK 0001166691); NBCUniversal Media, LLC  (CIK 0000902739)",2016-10-26,2019-01-31,7,10-K;10-Q,true,false,false,body-only
0000912728,FORWARD AIR CORP  (FWRD)  (CIK 0000912728),2023-08-14,2026-05-11,35,10-K;10-K/A;10-Q;8-K;8-K/A;DEF 14A;PRE 14A,true,false,false,both
0000920760,"LENNAR CORP /NEW/  (LEN, LEN-B)  (CIK 0000920760)",2015-07-07,2020-01-27,9,10-K;10-Q;8-K,true,false,false,body-only
0000927653,MCKESSON CORP  (MCK)  (CIK 0000927653),2016-07-05,2025-05-09,41,10-K;10-Q;8-K;8-K/A,true,false,true,both
0000931148,GRAFTECH INTERNATIONAL LTD  (EAF)  (CIK 0000931148),2018-04-25,2026-05-01,83,10-K;10-Q;8-K;DEF 14A;DEFA14A;PRE 14A,true,false,false,both
0000933136,Mr. Cooper Group Inc.  (COOP)  (CIK 0000933136),2023-08-01,2025-07-31,3,8-K;DEFM14A,true,false,false,body-only
